地名	一月	二月	三月	四月	五月	六月
淡水	120.50 	173.50 	192.20 	178.30 	219.50 	240.60 
鞍部	319.30 	315.20 	288.20 	242.50 	319.70 	322.60 
台北	86.50 	165.70 	180.00 	183.10 	258.90 	319.40 
竹子湖	269.30 	277.30 	240.30 	207.80 	275.30 	294.70 
基隆	375.80 	399.00 	332.30 	240.90 	296.10 	286.70 
彭佳嶼	134.00 	168.60 	179.90 	166.60 	203.10 	200.50 
花蓮	71.90 	99.90 	86.60 	96.10 	195.00 	219.60 
蘇澳	371.60 	351.50 	224.60 	207.90 	264.10 	252.30 
宜蘭	155.30 	175.20 	132.20 	134.20 	222.70 	186.70 
東吉島	19.20 	31.90 	41.30 	67.20 	136.70 	202.00 
澎湖	21.90 	50.20 	52.90 	92.40 	123.20 	164.10 
台南	19.90 	28.80 	35.40 	84.90 	175.50 	370.60 
高雄	20.00 	23.60 	39.20 	72.80 	177.30 	397.90 
嘉義	27.60 	57.70 	62.20 	107.60 	189.20 	350.70 
台中	36.30 	87.80 	94.00 	134.50 	225.30 	342.70 
阿里山	87.80 	144.00 	161.40 	256.80 	530.90 	711.10 
大武	54.90 	54.00 	48.90 	82.30 	198.20 	367.40 
玉山	116.00 	148.90 	138.90 	248.90 	454.20 	513.30 
新竹	74.80 	152.50 	196.50 	191.30 	282.40 	279.20 
恆春	25.70 	27.70 	19.90 	43.50 	163.90 	371.30 
成功	77.20 	73.40 	75.30 	96.40 	189.80 	204.70 
蘭嶼	273.90 	219.80 	163.00 	164.80 	263.00 	262.90 
日月潭	52.40 	103.30 	119.30 	192.10 	354.30 	483.80 
台東	43.20 	47.50 	43.10 	73.80 	156.90 	247.80 
梧棲	28.50 	84.50 	106.10 	131.00 	222.50 	217.70
